Major,"Date 
Contacted",Eggs,Milk,Fish,Shellfish,Peanuts,Tree Nuts,Sesame,Soy,Wheat/Gluten,Vegan,Vegetarian,Halal,Kosher,Other,Intial Concern,Hall (Living/Eating),Class Type,Notes,RCPD,Specialist,Dining Accommodation
Computer Engineering ,8/17/16,,,,,,,,,,,,,,,,Holden,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,,,,,,x,,,,,Holden,Incoming Freshman,10/20/16,,,
International Relations,8/17/16,,,,,,x,,,,,,,,,,Holden,Incoming Freshman,10/20/16,,,
Engineering ,8/17/16,,,,,,,,,,,x,,,,,Holden,Incoming Freshman,10/20/16,,,
Nutritonal Sciences ,8/17/16,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
Lyman Briggs,8/17/16,,,,,,,,,,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
Lyman Briggs,8/17/16,,,,x,,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Media and Information,8/17/16,,,,,,,,,,x,,,,Very healthy diet,"Wants steamed grains, veggies, etc",Landon,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,,,,x,,,,,,,McDonel,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,x,x,,,,,,,,,Rather,Incoming Freshman,10/20/16,,,
Human Biology,8/17/16,,,,,,,,,,,,,,Strawberries,,Rather,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,,,,,x,,,,,,Wilson,Incoming Freshman,10/20/16,,,
Computer Science,8/17/16,,,,,x,,,,,,,,,,,Wilson,Incoming Freshman,10/20/16,,,
Computer Science,8/17/16,,,,,x,x,,,,,,,,Nuts,,Wilson,Incoming Freshman,10/20/16,,,
Engineering,8/17/16,,,,,x,,,,,,,,,,,Wilson,Incoming Freshman,10/20/16,,,
,8/17/16,,x,,,,,,,,,x,,,Meat,,Wonders,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,,,,x,,,,,,,Wonders,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,,,,,,x,,,,,Wonders,Incoming Freshman,10/20/16,,,
Kinesiology,8/17/16,,x,,,,,,,x,,,,,,,Yakeley,Incoming Freshman,,,,
,8/19/16,,,,,,,,,,,,,,Losing weight,Food Truck Nutritionals,Off Campus,Employee,,,,
,8/24/16,,x,,,,,,x,x,,,,,PCOS,,Off Campus,Employee,10/20/16,,,
Plant Biology Cns,8/24/16,,x,,,,,,,x,,,,,FODMAP,,Unknown,Junior,10/20/16,X,,
,8/28/16,,,,,,,,,x,,,,,"Avoids sugar, HFCS, food dyes (especially red 40)","all triggers for  stomach issues, migraines, tics or extreme sweating",Snyder,Freshman,10/20/16,,,
Packaging ,8/29/16,,,,,,,,,x,,,,,,,South,Sophomore,10/20/16,,,
Pol Theory & Constitutional Dem,8/30/16,,,x,x,x,x,,,,,,,,,,Case,Freshman,10/20/16,,,
Food Science ,8/30/16,,,,,x,,,,x,,,,,"Corn, pineapple, oranges",,Case,Freshman,several,,,
,8/30/16,,,,,,,,,,,x,,,,,Landon,Freshman,10/20/16,,,
,8/31/16,,,,,x,x,,,x,,,,,,Was told we had nothing for GF,Unknown,Freshman,10/20/16,,,
Engineering,9/1/16,,,,,,,,,,,,x,,,,Holmes,Freshman,10/20/16,,,
Engineering,9/1/16,,x,,,,,,,,,,,,,Food truck options; Sparty's CX,Off Campus,Graduate,10/20/16,,,
Engineering,9/2/16,,,,,,,,,,,,x,,,,Holmes,Freshman,,,,
No Pref,9/2/16,,,,,,,,,x,,,,,,Getting sick with cross contact,Wonders,Freshman,several,,,
,9/4/16,,,,,,,,,,,,,,,Nutritional info,Akers,Freshman,,,,
Engineering,9/11/16,,,,,,,,,,,,,,High PRO diet,Being limited meats in Wilson,Wilson,Junior,10/20/16,,,
Kinesiology,9/12/16,,,,,,,,,,,,,,Picky eater,,Akers,Sophomore,10/20/16,X,,
,9/12/16,,,,,x,x,,x,x,,x,,,Nut free,Looking for higher protein options,Landon,Freshman,,,,
,9/13/16,,,,,,,,,x,,x,,,,,Shaw,Sophomore,10/20/16,,,
,9/14/16,,,,,,,,,,,x,,,,Cross contact with meat products,Hubbard,Freshman,10/20/16,,,
,9/14/16,x,x,,,x,x,,x,x,,,,,"Rice, Potatoes, Oats, Peppers",Thyroid Issue,Unknown,Freshman,10/20/16,,,
,9/19/16,,,,,,,,,x,x,,,,,,Unknown,Freshman,10/20/16,,,
,9/20/16,,,,,,,,,,,,,,Black pepper,,Akers,Freshman,10/20/16,X,,
Business,9/20/16,,,,,,,,,x,,,,,,,Brody,Sophomore,10/20/16,,,
Law,9/20/16,,,,,,,,,,,,,,Alcohol in foods,,Shaw,Graduate,10/20/16,,,
,9/27/16,,,,,,,,,,,,,,Low sodium,,Brody,Freshman,10/20/16,,,
,9/29/16,,,,,,,,,,,x,,,Pescaterian,,Case,Freshman,10/20/16,X,,
Advertising,10/1/16,,x,,,,,,,x,,,,,,,Landon,Freshman,10/20/16,,,
Engineering,10/3/16,,,,,,,,,,,,x,,,,Brody,Freshman,,,,
,10/4/16,,,,,x,x,,,,,,,,Citrus,Airborne,Snyder,Senior,,X,,
Psychology,10/4/16,,x,,,,,,x,,,,,,,,Landon,Sophomore,,,,
Biochemical Laboratory Science ,10/11/16,,,,,,x,,x,,x,,,,"Pork, soy, hazelnuts",,Akers,Freshman,,,,
,10/13/16,,,,,,,,,,,,,,,Ingredients,Case,Freshman,,,,
Genomics & Molecular Genetics,10/16/16,x,,,,x,x,x,,,,,,,,Reaction to Sesame,Akers,Freshman,,,,
,10/16/16,,,,,,,,,,,,,,,Nutritional info,Wilson,Freshman,,,,
No Pref,10/17/16,,,,,,,,,,x,,,,Vegan desserts,,Brody,Junior,,,,
Supply Chain Management,10/17/16,,,,,,,,,,,,,,Calorie counts,,Case,Freshman,,,,
Supply Chain Management,10/17/16,,,,,,,,,,,,,,Low GI foods and our rices,,Snyder,Junior,,,,
Economic Geography,10/17/16,,,x,x,,,,,,,,,,,Airbone,Landon,Sophomore,,X,,
,10/19/16,,,,,,,,,x,,,,,,,Snyder,Sophomore,,,,
Fisheries And Wildlife,10/19/16,,,,,,,,,,x,,,,,Vegan options,Landon,Freshman,,,,
Animal Science,10/19/16,,,,,,,,,,,,,,GI issues,can't find anything to eat,Landon,Sophomore,,,,
Biochemistry & Molecular Biology,10/27/16,,,,,,,,,,x,,,,Vegetarian transition to vegan,No options,Snyder,Freshman,,,,
,11/8/16,,,,,x,x,,,,,,,,,Many items; reaction to whole wheat bread,Brody,Freshman,,,,
,11/8/16,,x,,,,,,,x,,,,,,,Landon,Freshman,,,,
Business,11/8/16,,,,,,,,,,,,,,,Calories/macronutrients for working out,Unknown,Freshman,,,,
,11/11/16,,,,,x,x,,,,,,,,,Options at Concessions,Off Campus,Community,,,,
,11/11/16,,,,,,,,,,x,,,,,Options at Concessions,Off Campus,Community,,,,
,11/12/16,,,,,,,,,,x,,,,,,Brody,Freshman,,,,
,11/14/16,,,,,,,,,,,x,,,"Meatless, low CHO",,Unknown,Unknown,,,,
,11/14/16,,,,,,,,,,x,,,,,Recipe for FT,Off Campus,Graduate,,,,
,11/16/16,x,,,,x,x,,x,,,,,,"plus coconut, banana & more",,Unknown,Employee,,,,
,11/18/16,,,,,x,x,,,,,,,,,,Unknown,Prospective,,,,
,11/25/16,,,,,,,,,x,,,,,,,Unknown,Unknown,,,,
,11/30/16,,,,,,,,,x,,,,,,,Brody,Unknown,,,,
,12/1/16,,,,,,,,,,,,,,Allergic reaction to unknown item,Having testing done,Holmes,Unknown,,,,
,12/5/16,,,,,,,,,,,,,,,Ingredients,Brody,Freshman,,,,
,12/6/16,,x,,,,,,,x,,,,,,,Wilson,Incoming Freshman,,,,
Chemistry,12/9/16,,,,,,,,,,,x,,,"anaphylactic to latex; stby, cuke, avocado, pineapple, green peppers, melons, tomatoets, apple, peaches, nectarines, oranges, banana, mango; can have cooked veg",,Mason,Unknown,,,,
International Relations,12/14/16,,,,,,,,,,,,,,Insulin resistance,,Unknown,Freshman,,,,
Neuroscience,1/4/17,,x,,,,,,,x,,,,,"Crohn's -- cannot have greasy/spicy foods, sugar alcohols",,Holmes,Sophomore,,X,,
,1/4/17,,,,,,,,,x,,,,,Celiac,Just diagnosed,Mayo,Unknown,,,,
Jazz Studies,1/5/17,,x,,,,,,,,,,,,,,Landon,Freshman,,,,
Computer Science,1/7/17,,,,,,,,,,,,,,,Nutritional info for tracking calories,Akers,Sophomore,,,,
Engineering ,1/9/17,,,,,,,,,x,,,,,,New to GF diet,Off Campus,Sophomore,,,,
Journalism,1/9/17,,,,,,,,,,,,,,Sodium in foods,,Unknown,Junior,,,,
Japenese,1/10/17,,,,,,,,,,,,,,,UC,Brody,Sophomore,,,,
History Education,1/11/17,,,,,,,,,x,,,,,Sunflower oil/seeds,,Owen,Freshman,,,,
Experience Architecture,1/14/17,,,,,,,,x,,,,,,,cannot have oil,Snyder,Unknown,,,,
,1/14/17,,x,,,,,,,,,,,,,No DF options in Shaw - wants out of meal plan,Shaw,Employee,,,,
English,1/15/17,,,,,,,,,x,,,,,,,Snyder,Unknown,,,,
Engineering,1/17/17,,,,,,,,,,,x,,,,Sees more options at Brody,Case,Unknown,,,,
Kinesiology,1/18/17,,,,,,,,,,,,,,many,,Unknown,Freshman,,,,
Animal Science,1/19/17,,x,,,,x,,,x,,,,,"FODMAP; lactose intolerant; sensitive to nightshades; cannot have potatoes, tomatoes, peppers, eggplant, gluten, tree nuts, beans, oatmeal, onion, garlic, corn, milk",,Akers,Unknown,,X,,
Advertising,1/19/17,,x,,,,,,,x,,x,,,,,Landon,Prospective,,X,,
No Pref,1/21/17,,,,,,,,,,,,,,Difficulty eating healthy; not disciplined,,Akers,Freshman,,,,
,1/24/17,,,,,,,,,x,,,,,Celiac,,Unknown,Freshman,,,,
,1/25/17,,,,,,,,,,,,,,Doesn't eat pork or red meat -- no options,,Shaw,Prospective,,,,
Business,1/25/17,,,,,,,,,,,,,,Healthy eating,Inaccuracy of recipes/cooking methods,Unknown,Unknown,,,,
,1/31/17,,,,,,,,,,,,,,,Nutritionals,Case,Unknown,,,,
,2/1/17,,,,,,,,,,,,,,,Eats only organic -- questioning eggs that are served,Akers,Freshman,,,,
Social Work,2/2/17,,,,,,,,,,,,,,Orthostatic Intolerance -- needs to increase salt and water; Red Dye Allergy (1/13/20),,Case,Unknown,1/13/2020,,,
Advertising,2/2/17,,,,,,,,,,,,,,UC,,Unknown,Unknown,,,,
Biochemistry & Molecular Biology,2/4/17,,,,,,,,,,,,,,,Phase out desserts; have more healthy fats,Unknown,Unknown,,,,
,2/5/17,,,,,,,,,x,,,,,Twin daughters are celiac,,Unknown,Prospective,,,,
Statistics,2/16/17,,,,,,,,,,,,,,Suggestions on meats and fruits to eat,,Unknown,Unknown,,,,
,2/17/17,,,,,,,,,x,,,,,Celiac,,Holmes,Incoming Freshman,,X,,
Human Devel and Family Studies,2/18/17,,,,,,,,,x,,,,,Celiac,,Gilchrist,Incoming Freshman,,,,
,2/23/17,,,,,,,,,x,,x,,,,,Unknown,Unknown,,,,
,2/28/17,,,,,,,,,,,,,,,Training foods/meals for marine corps,Unknown,Unknown,,,,
,3/2/17,,,,,,,,,,,,,,,Nutritionals,Off Campus,Employee,,,,
No Pref,3/10/17,,,,,,,,,x,,,,,Celiac,,Mason,Incoming Freshman,,,,
Business ,3/11/17,,,,,,,,,,,,,,,Nutritionals,Brody,Unknown,,,,
Packaging ,3/13/17,,,,,,,,,,,x,,,,More bean options,Case,Senior,,,,
Social Relations And Policy ,3/13/17,,,,,,,,,,,x,,,,"Low veg options at Owen, cross contamination",Owen,Sophomore,,,,
Physics,3/17/17,,,,,x,x,,,,,,,,,Want sunbutter available,Brody,Unknown,,,,
,3/18/17,,,,,,,,,,,,,,,Wanted recipes,Unknown,Unknown,,,,
Genomics & Molecular Genetics,3/23/17,,,,,,,,,,,,,,,Doesn't know what to eat; avoids eating,Akers,Unknown,,,,
Psychology,3/27/17,,,,,,,,,x,,,,,Celiac - can't find options,,Case,Unknown,,,,
"Linguistics, German, Slavic, Asian, African Languages",3/30/17,,,,,,,,,,,,,,"No red meat, pork, fried foods","Menus keep getting worse, no options",Snyder,Unknown,,,,
Kinesiology,4/2/17,,,,,,,,,x,,,,,,,Unknown,Transfer,,,,
Psychology,4/3/17,x,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Music Performance,4/4/17,,,,,,,,,,,,,,Crohn's,On a partial enteral diet,Campbell,Incoming Freshman,,X,,
International Relations,4/11/17,,,,,,,,,,,,,x,,,Case,Sophomore,,,,
,4/12/17,,,,,x,x,,,,,,,,"Life threatening to nuts, peas, corn",,Shaw,Transfer,,,,
Economics,4/14/17,,,,,,,,,,x,,,,,Wanted a lower meal plan bc of being vegan,Gilchrist,Incoming Freshman,,,,
,4/18/17,,x,,,,,,,x,,,,,Fructose ,,Butterfield,Junior,,X,,
Physics,4/18/17,,,,,,,,,,,,,,Restricted diet - no options,,Landon,Incoming Freshman,,,,
Business ,4/25/17,,,,,,,,,,,,,,,Nutritional information,Unknown,Sophomore,,,,
FRIB,4/27/17,,,,,,,,,,,,,,,"Nutritional information, discrepancies of portions served from MSUtrition",Off Campus,Employee,,,,
Business,5/1/17,,,,,,,,,,,,,x,,,Rather,Incoming Freshman,,,,
Food Science ,5/1/17,,,,,,,,,,,,,,,Food Truck nutritionals,Off Campus,Sophomore,,,,
Premed,5/2/17,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,X,,
Media and Info,5/2/17,,,,,,,,,,,,,,,Wanted recipe,Shaw,Freshman,,,,
Food Science ,5/2/17,,,,,,,,,,,,,,,Wanted recipe,Unknown,Sophomore,,,,
No Pref,5/5/17,,,,,,,,,x,,,x,,,,Akers,Incoming Freshman,,,,
Prevet,5/8/17,,,,,,,,,,,,,,Anorexic,,Williams,Incoming Freshman,,,,
,5/11/17,,,,,,,,,x,,,,,,Brody menus and Stadium concessions,Brody,Community,,,,
Business,5/15/17,,,,,x,x,,,,,,,,,,Abbott,Incoming Freshman,,,,
Computer Engineering ,5/16/17,,,,,,,,,x,,,,,"colitis, many allergies, celiac",,Emmons,Incoming Freshman,,X,,
Kinesiology,5/22/17,,,,,,x,,,x,,,,,"Anaphylactic to tree nuts, GF for Type 1 DM",,Bryan,Incoming Freshman,,,,
Premed,5/22/17,,x,,,x,x,x,,,,,,,"intolerances to safflower oil, sunflower oil, gluten, legumes, soy, chia, flax, poppy, chickpeas",,Case,Incoming Freshman,,,,
,5/23/17,,,,,,,,,,,,,,,Recipe needed,Unknown,Unknown,,,,
Business ,5/24/17,,x,,,,,,,,,,,,,No fried foods,Brody,Incoming Freshman,,,,
Lyman Briggs,6/6/17,,,,,,,,,x,,,,,"Celiac, Type I Diabetic",,Holmes,Incoming Freshman,,,,
Lifelong Education,6/9/17,,,,,,,,,,,x,,,,,McDonel,Transfer,,,,
Lyman Briggs,6/13/17,,x,,,,,,,,,,,,"Beef, Processed foods/meats, Bread/baked goods",,Holmes,Incoming Freshman,,,,
No Pref,6/14/17,,,,,,,,,x,,,,,Celiac,,Mason,Incoming Freshman,,,,
Lyman Briggs,6/15/17,,,,x,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Business ,6/15/17,,,,,,,,,x,,,,,,,Mayo,Incoming Freshman,,,,
Business ,6/20/17,,,,,x,x,,,,,,,,"Lentil, peas",,Unknown,Transfer,,,,
Neuroscience,6/21/17,,,,,,,x,,,,,,,"avocados, green beans, peas, beans (kidney, black, chickpea, etc.), broccoli, eggs, chicken, beef, lamb, turkey, barley, oats, wheat, corn, tree nuts, peanuts, Sesame seed, mustard seed, cherry, lemon, orange, peach, plum, raspberry, soy, cacao, lettuce, mushroom, olive, sweet potato, perch, trout, catfish, tuna, lobster, cinnamon, pepper, garlic",,Landon,Incoming Freshman,,X,,
Business ,6/22/17,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Prenursing,6/22/17,,,,,,,,,,,,,,,Anorexic,McDonel,Incoming Freshman,,,,
Anthropology,6/26/17,,,,,,,,,,,,,,,CHO counting,Akers,Incoming Freshman,,,,
Engineering,6/26/17,,x,,,x,x,x,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,6/26/17,,,,,,,,,x,,,,,"MSG, Paraben, organic, no pesticides, mediterranean",,Holmes,Incoming Freshman,,,,
Lyman Briggs,6/26/17,,,,,,,,,x,,,,,,,Wilson,Incoming Freshman,,,,
Applied Engineering Sciences,6/26/17,,,x,x,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Kinesiology,7/6/17,x,x,x,x,x,x,,x,x,,,,,,,Wonders,Incoming Freshman,,X,,
Music Performance,7/9/17,,,,,,,,,x,,,,,Rice,,Wilson,Incoming Freshman,,,,
Prenursing,7/13/17,,,,,x,x,,,,,,,,Reaction at AOP,,Hubbard,Incoming Freshman,,,,
Business,7/18/17,,x,,,x,x,x,,,,,,,,,Holmes,Incoming Freshman,,,,
Human Biology,7/18/17,,,,,,,,,,,x,,,,,Wonders,Incoming Freshman,,,,
Human Biology,7/19/17,,,,,,,,,x,,,,,,,Akers,Junior,,,,
Lyman Briggs,8/2/17,,x,,x,x,x,,,x,,,,,"Yeast, all sugars",Additional restrictions -- suggested RCPD,Holmes,Sophomore,,X,,
Lyman Briggs,8/7/17,,,,,,,,,,,,,,Ketogenic diet,,Holmes,Sophomore,,,,
Premed,8/7/17,,,,,,,,x,,x,,,,,,Hubbard,Incoming Freshman,,,,
Premed,8/15/17,,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
Biochemistry & Molecular Biology,8/21/17,,,,,,,,,,,,,,Pescatarian,,Abbott,Incoming Freshman,,,,
Animal Science,8/21/17,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,,,,
Business ,8/21/17,,,,,,x,,,,,,,,"Cashews, Pistachios",,Akers,Incoming Freshman,,,,
Business,8/21/17,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Education,8/21/17,,,,,,,,,,,,,,,Healthy choices/fitness focus,Akers,Incoming Freshman,,,,
Theatre,8/21/17,,,,,,,,,,x,,,,,,Akers,Incoming Freshman,,,,
Psychology,8/21/17,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Prelaw,8/21/17,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Predental,8/21/17,,x,,,,,,,,,,,,,,Armstrong,Incoming Freshman,,,,
No Pref,8/21/17,,,,,,,,,x,,,,,Celiac,,Armstrong,Incoming Freshman,,,,
Business ,8/21/17,,,,,x,x,,,,,,,,,,Armstrong,Incoming Freshman,,,,
Business,8/21/17,,,,,,,,,,,,,,,,Armstrong,Incoming Freshman,,,,
Business,8/21/17,,x,,,,,,,,,,,,,,Armstrong,Incoming Freshman,,,,
Business,8/21/17,,,,,,x,,,,,,,,,"Walnuts, hazelnuts, brazil nuts",Armstrong,Incoming Freshman,,,,
Psychology,8/21/17,,,,,x,x,x,,,,,,,"Sunflower, Poppy Seeds",,Bailey,Incoming Freshman,,,,
No Pref,8/21/17,,x,,,,,,,,,,,,,,Brody,Incoming Freshman,,,,
Prenursing,8/21/17,,,,,,,,,x,,,,,Celiac,,Brody,Incoming Freshman,,,,
Premed,8/21/17,,,,,,,,,,,x,,,,,Brody,Incoming Freshman,,,,
Premed,8/21/17,,x,,,,,,,,,,,,,,Brody,Incoming Freshman,,,,
Business ,8/21/17,,,,x,x,x,,,,,,,,,,Bryan,Incoming Freshman,,,,
Criminal Justice,8/21/17,,,,,x,,,,,,,,,,,Bryan,Incoming Freshman,,,,
Human Biology,8/21/17,,,,,,x,,,,,,,,,,Bryan,Incoming Freshman,,,,
Business,8/21/17,,,,,,,,,,,,,,,,Bryan,Incoming Freshman,,,,
Professional Writing,8/21/17,,,,,,x,,,,,,,,,,Bryan,Incoming Freshman,,,,
Engineering,8/21/17,,,,,x,,,,,,,,,,,Campbell,Incoming Freshman,,,,
Human Biology,8/21/17,,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/21/17,,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
Kinesiology,8/21/17,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Human Biology,8/21/17,,,,,,,,,,,,,,No Pork,,Emmons,Incoming Freshman,,,,
Arts and Letters,8/21/17,,,,,x,x,,,,,,,,,,Evans,Incoming Freshman,,,,
Dietetics,8/21/17,,x,,,,,,,x,,,,,,,Snyder,Incoming Freshman,,,,
Prenursing,8/21/17,,,,,,,,,,,,,,,,Gilchrist,Incoming Freshman,,,,
Genomics & Molecular Genetics,8/21/17,,x,,,,,,,,,,,,,,Gilchrist,Sophomore,,,,
Prenursing,8/21/17,,,,,,,,,,,,,,MSG,,Holden,Incoming Freshman,,,,
Engineering,8/21/17,,,,,x,,,,,,,,,,,Holden,Incoming Freshman,,,,
Biomedical Laboratory Science,8/21/17,,x,,,,,,,,,,,,,,Holden,Incoming Freshman,,,,
Journalism,8/21/17,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,,,,x,x,,,,x,,,,,Healthy choices,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,,,x,,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/21/17,x,x,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,,,,,,,,,,,,,No Pork,,Holmes,Incoming Freshman,,,,
Business,8/21/17,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,,,,,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,,,x,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Education,8/21/17,,x,,,,,,,x,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,x,,,,,,,,,,,,Pork,,Holmes,Incoming Freshman,,,,
Special Ed - Learning Disabilities,8/21/17,,,,,x,,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Business,8/21/17,,,x,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Journalism,8/21/17,,,,,,,,,,x,,,,,,Hubbard,Incoming Freshman,,,,
Nutritional Sciences,8/21/17,,,,,,,,,,,,x,,No Pork,,Hubbard,Incoming Freshman,,,,
Business ,8/21/17,,,,,,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Criminal Justice,8/21/17,,,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Kinesiology,8/21/17,,,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Advertising,8/21/17,,x,,,,,,,x,,,,,,,Hubbard,Sophomore,,,,
Art History And Visual Culture,8/21/17,,,,,,,,,,x,,,,,,Mason,Incoming Freshman,,,,
Business,8/21/17,,,,,x,x,,,,,,,,,,Mason,Incoming Freshman,,,,
Journalism,8/21/17,,,,,x,,,,,,,,,,,Mason,Sophomore,,,,
Communication,8/21/17,,,,,x,x,,,,,,,,,,Mason,Incoming Freshman,,,,
Business,8/21/17,,,,,,x,,,,,,,,,,Mayo,Incoming Freshman,,,,
Preoptometry,8/21/17,,,,,,,,,x,,,,,,,Mayo,Incoming Freshman,,,,
Journalism,8/21/17,,,,,,,,,,,x,,,,,Mayo,Incoming Freshman,,,,
Business,8/21/17,,,,,,x,,,,,,,,,Walnuts,McDonel,Incoming Freshman,,,,
Envir Studies & Sustainability,8/21/17,,,,,x,x,,,,,,,,,,McDonel,Sophomore,,,,
Business,8/21/17,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business ,8/21/17,,x,,,,x,,,,,,,,,,McDonel,Sophomore,,,,
Business,8/21/17,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Kinesiology,8/21/17,,,,,,,,,x,,,,,Already contacted,,McDonel,Sophomore,,,,
Engineering,8/21/17,,,,,,,,,x,,,,,,,Landon,Incoming Freshman,,,,
Business,8/21/17,,,,,,,,,,,,,,,,Rather,Incoming Freshman,,,,
Engineering,8/21/17,,,,,x,x,,,,,,,,,,Rivertrail,Sophomore,,,,
Agriculture and Nat Resources,8/21/17,,x,,,,,,,,,,,,No red meat,,Snyder,Incoming Freshman,,,,
Lifelong Education,8/21/17,,,,,,,,,,,,,,,,Unknown,Incoming Freshman,,,,
Fisheries And Wildlife ,8/21/17,,,,,,,,,,,x,,,,,Unknown,Sophomore,,,,
Business,8/21/17,,,,,,,,,,,,,,Pescatarian,,Off Campus,Sophomore,,,,
Media and Info,8/21/17,,,,,,,,,,,,,,,Narrow dining options,Wilson,Incoming Freshman,,,,
Business,8/21/17,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/21/17,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Communication,8/21/17,,x,,,,,,,,,,,,,wants to move to Owen/VanHoosen for a community kitchen,Wilson,Incoming Freshman,,,,
No Pref,8/21/17,,,,,,,,,,,,,,MSG - migraine vomiting syndrome,,Wilson,Incoming Freshman,,,,
Engineering,8/21/17,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Lyman Briggs,8/21/17,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/21/17,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Prenursing,8/21/17,,,,,,x,,,,,,,,"Cashews, Pistachios, Walnuts",,Wilson,Incoming Freshman,,,,
No Pref,8/21/17,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/21/17,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Hospitality Business,8/21/17,,,,,,,,,,,,,,,came from RCPD,Wilson,Senior,,X,,
Engineering,8/21/17,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
,8/21/17,,,,,,,,,,x,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/21/17,,x,,,,,,,,,,,,,Had reaction 9/5 in Case,Wilson,Incoming Freshman,,,,
Engineering,8/21/17,,,,,,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
Animal Science,8/21/17,,,,,,,,,x,,,,,Celiac,,Wonders,Incoming Freshman,,,,
Engineering,8/21/17,,,,,x,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
Engineering,8/21/17,x,,,,x,x,,,,,,,,,,Wonders,Sophomore,,,,
Premed,8/21/17,,,,,,,,,,,x,,,,,Wonders,Incoming Freshman,,,,
Business ,8/21/17,,x,,,,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Computer Science,8/21/17,,,,,,,,,,,x,,,,,Wonders,Sophomore,,,,
No Pref,8/21/17,,,,,,,,,,x,,,,,,Yakeley,Incoming Freshman,,,,
Social Work,8/21/17,,,,,,,,,,,x,,,,,Yakeley,Incoming Freshman,,,,
Music Performance,8/21/17,,,,,,,,,,x,,,,,,Yakeley,Incoming Freshman,,,,
Journalism,8/21/17,,x,,,,,,,,,,,,,,Yakeley,Incoming Freshman,,,,
Psychology,8/22/17,x,x,,,,,,,,,,,,Anaphylactic,,Akers,Incoming Freshman,,,,
Prenursing,8/22/17,,,,,,,,,,,,,,Sunflower seed oil,,Brody,Incoming Freshman,,,,
Lyman Briggs,8/22/17,,,,,,,,,,,,x,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/22/17,x,,,x,,,,,,,x,,,,,Holmes,Incoming Freshman,,,,
Prevet,8/22/17,,,,,,,,,x,x,,,,"Can eat gluten, but doesn't eat much",,Hubbard,Incoming Freshman,,,,
Prelaw,8/22/17,,,,,,,,,,,,,,Type 1  Diabetic,,Hubbard,Incoming Freshman,,,,
